  KM         B92E
  KMAC       B91E
  KMC        B92F
  KXBR       B348
  KXTR       B3E8
  L          58  
  LA         41  
  LAE        51  
  LAEY       E375
  LAM        9A  
  LAMY       EB9A
  LASP       E500
  LAY        E371
  LB         E376
  LBR        B926
  LCDBR      B313
  LCDFR      B373
  LCDR       23  
  LCEBR      B303
  LCER       33  
  LCGFR      B913
  LCGR       B903
  LCR        13  
  LCTL       B7  
  LCTLG      EB2F
  LCXBR      B343
  LCXR       B363
  LD         68  
  LDE        ED24
  LDEB       ED04
  LDEBR      B304
  LDER       B324
  LDETR      B3D4
  LDGR       B3C1
  LDR        28  
  LDXBR      B345
  LDXR       25  
  LDXTR      B3DD
  LDY        ED65
  LE         78  
  LEDBR      B344
  LEDR       35  
  LEDTR      B3D5
  LER        38  
  LERN       B2C8
  LEXBR      B346
  LEXR       B366
  LEY        ED64
  LFAS       B2BD
  LFI        B8  
  LFPC       B29D
  LG         E304
  LGB        E377
  LGBR       B906
  LGCD       B284
  LGCE       B285
  LGDR       B3CD
  LGF        E314
  LGFR       B914
  LGH        E315
  LGHR       B907
  LGND       B280
  LGNE       B281
  LGR        B904
  LH         48  
  LHR        B927
  LHY        E378
  LKPG       B262
  LLC        E394
  LLCR       B994
  LLGC       E390
  LLGCR      B984
  LLGF       E316
  LLGFR      B916
  LLGH       E391
  LLGHR      B985
  LLGT       E317
  LLGTR      B917
  LLH        E395
  LLHR       B995
  LM         98  
  LMC        B8  
  LMD        EF  
  LMG        EB04
  LMH        EB96
  LMP        A0  
  LMY        EB98
  LNDBR      B311
  LNDFR      B371
  LNDR       21  
  LNEBR      B301
  LNER       31  
  LNGFR      B911
  LNGR       B901
  LNR        11  
  LNXBR      B341
  LNXR       B361
  LPDBR      B310
  LPDFR      B370
  LPDR       20  
  LPEBR      B300
  LPER       30  
  LPGFR      B910
  LPGR       B900
  LPQ        E38F
  LPR        10  
  LPSW       82  
  LPSWE      B2B2
  LPTEA      B9AA
  LPXBR      B340
  LPXR       B360
  LR         18  
  LRA        B1  
  LRAG       E303
  LRAY       E313
  LRDR       25  
  LRER       35  
  LRV        E31E
  LRVG       E30F
  LRVGR      B90F
  LRVH       E31F
  LRVR       B91F
  LT         E312
  LTDBR      B312
  LTDR       22  
  LTDTR      B3D6
  LTEBR      B302
  LTER       32  
  LTG        E302
  LTGF       E332
  LTGFR      B912
  LTGR       B902
  LTR        12  
  LTXBR      B342
  LTXR       B362
  LTXTR      B3DE
  LURA       B24B
  LURAG      B905
  LXD        ED25
  LXDB       ED05
  LXDBR      B305
  LXDR       B325
  LXDTR      B3DC
  LXE        ED26
  LXEB       ED06
  LXEBR      B306
  LXER       B326
  LXR        B365
  LY         E358
  LZDR       B375
  LZER       B374
  LZXR       B376
  M          5C  
  MACD       B2D4
  MACE       B2D5
  MAD        B21D
  MAD        ED3E
  MADB       ED1E
  MADBR      B31E
  MADR       B33E
  MADS       B243
  MAE        ED2E
  MAEB       ED0E
  MAEBR      B30E
  MAER       B32E
  MAY        ED3A
  MAYH       ED3C
  MAYHR      B33C
  MAYL       ED38
  MAYLR      B338
  MAYR       B33A
  MC         AF  
  MCBDM      B2A4
  MD         6C  
  MDB        ED1C
  MDBR       B31C
  MDE        7C  
  MDEB       ED0C
  MDEBR      B30C
  MDER       3C  
  MDR        2C  
  MDRN       B2C4
  MDTR       B3D0
  ME         7C  
  MEE        ED37
  MEEB       ED17
  MEEBR      B317
  MEER       B337
  MER        3C  
  MERN       B2C5
  MFY        E35C
  MH         4C  
  MHY        E37C
  ML         E396
  MLG        E386
  MLGR       B986
  MLR        B996
  MP         FC  
  MR         1C  
  MS         71  
  MSCH       B232
  MSD        ED3F
  MSDB       ED1F
  MSDBR      B31F
  MSDR       B33F
  MSE        ED2F
  MSEB       ED0F
  MSEBR      B30F
  MSER       B32F
  MSG        E30C
  MSGF       E31C
  MSGFR      B91C
  MSGR       B90C
  MSR        B252
  MSTA       B247
  MSY        E351
  MUN        B21E
  MVC        D2  
  MVCDK      E50F
  MVCIN      E8  
  MVCK       D9  
  MVCL       0E  
  MVCLE      A8  
  MVCLU      EB8E
  MVCP       DA  
  MVCS       DB  
  MVCSK      E50E
  MVGHI      E548
  MVHHI      E544
  MVHI       E54C
  MVI        92  
  MVIY       EB52
  MVN        D1  
  MVO        F1  
  MVPG       B254
  MVST       B255
  MVZ        D3  
  MXBR       B34C
  MXD        67  
  MXDB       ED07
  MXDBR      B307
  MXDR       27  
  MXR        26  
  MXTR       B3D8
  MY         ED3B
  MYH        ED3D
  MYHR       B33D
  MYL        ED39
  MYLR       B339
  MYR        B33B
  N          54  
  NC         D4  
  NG         E380
  NGR        B980
  NI         94  
  NIY        EB54
  NQAP       B2AD
  NR         14  
  NY         E354
  O          56  
  OC         D6  
  OG         E381
  OGR        B981
  OI         96  
  OIY        EB56
  OR         16  
  OY         E356
  PACK       F2  
